N, power, exponent
30, 0.0528, 0.7
180, 0.0694, 0.7
330, 0.0806, 0.7
480, 0.1156, 0.7
630, 0.1588, 0.7
780, 0.1836, 0.7
930, 0.2368, 0.7
1080, 0.2654, 0.7
1230, 0.333, 0.7
1380, 0.4156, 0.7
1530, 0.5002, 0.7
1680, 0.5264, 0.7
30, 0.049, 0.8
180, 0.0714, 0.8
330, 0.1054, 0.8
480, 0.1656, 0.8
630, 0.222, 0.8
780, 0.2896, 0.8
930, 0.4158, 0.8
1080, 0.5192, 0.8
1230, 0.6076, 0.8
1380, 0.672, 0.8
1530, 0.7662, 0.8
1680, 0.819, 0.8
30, 0.0568, 0.9
180, 0.0802, 0.9
330, 0.1368, 0.9
480, 0.1656, 0.9
630, 0.2964, 0.9
780, 0.4596, 0.9
930, 0.5708, 0.9
1080, 0.7084, 0.9
1230, 0.8168, 0.9
1380, 0.8656, 0.9
1530, 0.9212, 0.9
1680, 0.9456, 0.9
30, 0.0516, 1
180, 0.0796, 1
330, 0.1358, 1
480, 0.251, 1
630, 0.4058, 1
780, 0.5874, 1
930, 0.7488, 1
1080, 0.8544, 1
1230, 0.9082, 1
1380, 0.945, 1
1530, 0.9658, 1
1680, 0.9768, 1
30, 0.0528, 1.1
180, 0.0568, 1.1
330, 0.1114, 1.1
480, 0.1476, 1.1
630, 0.2556, 1.1
780, 0.3736, 1.1
930, 0.449, 1.1
1080, 0.5908, 1.1
1230, 0.6994, 1.1
1380, 0.8124, 1.1
1530, 0.8538, 1.1
1680, 0.9136, 1.1
30, 0.0428, 1.2
180, 0.0562, 1.2
330, 0.0926, 1.2
480, 0.1152, 1.2
630, 0.1596, 1.2
780, 0.2014, 1.2
930, 0.244, 1.2
1080, 0.3574, 1.2
1230, 0.431, 1.2
1380, 0.577, 1.2
1530, 0.61, 1.2
1680, 0.749, 1.2
30, 0.052, 1.3
180, 0.0574, 1.3
330, 0.0746, 1.3
480, 0.0984, 1.3
630, 0.1122, 1.3
780, 0.1372, 1.3
930, 0.1838, 1.3
1080, 0.215, 1.3
1230, 0.2452, 1.3
1380, 0.3052, 1.3
1530, 0.3562, 1.3
1680, 0.462, 1.3
30, 0.052, 1.4
180, 0.0532, 1.4
330, 0.062, 1.4
480, 0.0708, 1.4
630, 0.0852, 1.4
780, 0.1016, 1.4
930, 0.127, 1.4
1080, 0.1392, 1.4
1230, 0.141, 1.4
1380, 0.1646, 1.4
1530, 0.2316, 1.4
1680, 0.2446, 1.4
