N,eps,Power
30,None,0.9664
30,1,0.0538
30,0.5,0.0511
30,0.1,0.0454
75,None,1
75,1,0.0892
75,0.5,0.0675
75,0.1,0.0479
150,None,1
150,1,0.2205
150,0.5,0.091
150,0.1,0.0519
300,None,1
300,1,0.8332
300,0.5,0.2413
300,0.1,0.062
399,None,1
399,1,0.9738
399,0.5,0.4145
399,0.1,0.0619
534,None,1
534,1,0.9977
534,0.5,0.7484
534,0.1,0.0723
711,None,1
711,1,0.9998
711,0.5,0.9575
711,0.1,0.0967
948,None,1
948,1,1
948,0.5,0.994
948,0.1,0.126
1266,None,1
1266,1,1
1266,0.5,0.9996
1266,0.1,0.1865
1686,None,1
1686,1,1
1686,0.5,0.9999
1686,0.1,0.3301
2250,None,1
2250,1,1
2250,0.5,1
2250,0.1,0.5774
3e3,None,1
3e3,1,1
3e3,0.5,1
3e3,0.1,0.8788
4002,None,1
4002,1,1
4002,0.5,1
4002,0.1,0.9836
5334,None,1
5334,1,1
5334,0.5,1
5334,0.1,0.9989
