N,eps_frac,Power
30,0.25,0.096
75,0.25,0.188
150,0.25,0.212
300,0.25,0.34
399,0.25,0.45
534,0.25,0.598
711,0.25,0.768
948,0.25,0.924
1266,0.25,0.972
1686,0.25,0.996
2250,0.25,1
30,0.3,0.094
75,0.3,0.174
150,0.3,0.244
300,0.3,0.354
399,0.3,0.452
534,0.3,0.66
711,0.3,0.848
948,0.3,0.938
1266,0.3,0.992
1686,0.3,0.996
2250,0.3,1
30,0.35,0.096
75,0.35,0.15
150,0.35,0.242
300,0.35,0.318
399,0.35,0.484
534,0.35,0.69
711,0.35,0.878
948,0.35,0.952
1266,0.35,0.994
1686,0.35,0.998
2250,0.35,1
30,0.4,0.084
75,0.4,0.134
150,0.4,0.208
300,0.4,0.33
399,0.4,0.526
534,0.4,0.734
711,0.4,0.908
948,0.4,0.958
1266,0.4,0.994
1686,0.4,1
2250,0.4,1
30,0.45,0.072
75,0.45,0.108
150,0.45,0.18
300,0.45,0.374
399,0.45,0.536
534,0.45,0.67
711,0.45,0.884
948,0.45,0.978
1266,0.45,0.996
1686,0.45,1
2250,0.45,1
30,0.5,0.09
75,0.5,0.12
150,0.5,0.154
300,0.5,0.342
399,0.5,0.472
534,0.5,0.676
711,0.5,0.854
948,0.5,0.956
1266,0.5,0.996
1686,0.5,1
2250,0.5,1
