N,exponent,Power
30,0.7,0.05775
75,0.7,0.0565
150,0.7,0.06115
300,0.7,0.06645
399,0.7,0.07895
534,0.7,0.09515
711,0.7,0.11635
948,0.7,0.13985
1266,0.7,0.1713
1686,0.7,0.2602
2250,0.7,0.41355
30,0.7999999999999999,0.05515
75,0.7999999999999999,0.0598
150,0.7999999999999999,0.0656
300,0.7999999999999999,0.0866
399,0.7999999999999999,0.10505
534,0.7999999999999999,0.1454
711,0.7999999999999999,0.19665
948,0.7999999999999999,0.3237
1266,0.7999999999999999,0.51535
1686,0.7999999999999999,0.75105
2250,0.7999999999999999,0.9034
30,0.8999999999999999,0.0589
75,0.8999999999999999,0.07
150,0.8999999999999999,0.07095
300,0.8999999999999999,0.1064
399,0.8999999999999999,0.15785
534,0.8999999999999999,0.24985
711,0.8999999999999999,0.43465
948,0.8999999999999999,0.6857
1266,0.8999999999999999,0.8912
1686,0.8999999999999999,0.97505
2250,0.8999999999999999,0.99625
30,1,0.05595
75,1,0.0687
150,1,0.08515
300,1,0.1528
399,1,0.26655
534,1,0.4874
711,1,0.7272
948,1,0.9259
1266,1,0.98945
1686,1,0.9987
2250,1,1
30,1.1,0.05755
75,1.1,0.067
150,1.1,0.072
300,1.1,0.1148
399,1.1,0.16675
534,1.1,0.31855
711,1.1,0.61
948,1.1,0.8505
1266,1.1,0.969
1686,1.1,0.9961
2250,1.1,0.9999
30,1.2,0.0566
75,1.2,0.0645
150,1.2,0.07345
300,1.2,0.1043
399,1.2,0.1414
534,1.2,0.22715
711,1.2,0.4512
948,1.2,0.73685
1266,1.2,0.92355
1686,1.2,0.98545
2250,1.2,0.99895
30,1.3,0.05575
75,1.3,0.06395
150,1.3,0.0749
300,1.3,0.08475
399,1.3,0.1254
534,1.3,0.1646
711,1.3,0.30595
948,1.3,0.57145
1266,1.3,0.84025
1686,1.3,0.9687
2250,1.3,0.99575
30,1.4,0.05215
75,1.4,0.06135
150,1.4,0.0732
300,1.4,0.0903
399,1.4,0.10085
534,1.4,0.1335
711,1.4,0.20615
948,1.4,0.39465
1266,1.4,0.71475
1686,1.4,0.92105
2250,1.4,0.98665
